Fips,CntyFips,StateName,StateFips,geometry,State Postal Abbreviation,County Name,Census 2000 Population,Census 2000 Housing Units,Land Area (square miles),Water Area (square miles),Latitude,Longitude,FIPS,PST045211,POP010210,POP050210,POP010200,AGE115210,AGE275210,AGE765210,SEX205210,RHI105210,RHI205210,RHI305210,RHI405210,RHI505210,RHI605210,RHI705210,RHI805210,POP715210,POP645210,POP815210,EDU635210,EDU685210,VET605210,LFE305210,HSG030210,HSG445210,HSG096210,HSG495210,HSD410210,HSD310210,INC910210,INC110210,PVY020210,BZA010209,BZA110209,BZA115209,NES010209,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030210,FED110209,LND110210,POP060210
010001,1,Delaware,10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-75.724937,38.83017 -75.752922,39.141548 -75.761658,39.247753 -75.764664,39.295849 -75.706268,39.300919 -75.664848,39.29306 -75.610229,39.312645 -75.583443,39.313599 -75.555962,39.340374 -75.555672,39.35125 -75.535393,39.352745 -75.515572,39.36694 -75.402481,39.257637 -75.397728,39.073036 -75.324852,39.012386 -75.307899,38.945911 -75.391075,38.955048 -75.405525,38.925823 -75.486687,38.900421 -75.510788,38.884037 -75.523865,38.859764 -75.558128,38.838093 -75.724937,38.83017</coordinates></LinearRing></outerBoundaryIs></Polygon>",DE,Kent County,126697,50481,589.721276,210.395309,39.092714,-75.560273,10001,0,162310,28.1,126697,6.9,24.9,13.5,51.9,67.8,24,0.6,2,0.1,3.5,5.8,65.2,84.9,5.2,9.3,84.9,20,17572,24.2,65338,72.9,12.9,207500,57396,2.67,24194,53183,12.5,3169,48947,10.2,8373,11242,10.4,0.8,3.8,0,2.5,26.2,2361835,0,2589237,17024,447861,813,1902835,586.18,276.9
010003,3,Delaware,10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-75.772697,39.383007 -75.791435,39.723755 -75.775269,39.724442 -75.745934,39.774818 -75.695114,39.820347 -75.644341,39.838196 -75.583794,39.840008 -75.470345,39.826435 -75.42083,39.79887 -75.412117,39.789658 -75.428009,39.77813 -75.460754,39.763248 -75.475128,39.741718 -75.476334,39.719971 -75.489639,39.714745 -75.610725,39.612793 -75.562996,39.566723 -75.590187,39.463768 -75.515572,39.36694 -75.535393,39.352745 -75.555672,39.35125 -75.555962,39.340374 -75.583443,39.313599 -75.610229,39.312645 -75.664848,39.29306 -75.706268,39.300919 -75.764664,39.295849 -75.772697,39.383007</coordinates></LinearRing></outerBoundaryIs></Polygon>",DE,New Castle County,500265,199521,426.265807,67.241571,39.695612,-75.611707,10003,0,538479,7.6,500265,6.2,23.2,12.3,51.6,65.5,23.7,0.3,4.3,0,2.5,8.7,61.6,84.5,9.6,14.1,88.4,32.4,38905,24.4,217511,71.3,22.8,252800,198499,2.6,31220,62474,10.3,15879,262628,-6.9,29571,43660,10.1,0,5.1,0,2.1,26.5,20268769,0,8633413,16358,999186,705,3998830,426.29,1263.2
010005,5,Delaware,10,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-75.068298,38.449963 -75.093094,38.450451 -75.350204,38.455208 -75.69915,38.463066 -75.70742,38.557476 -75.71106,38.649551 -75.724937,38.83017 -75.558128,38.838093 -75.523865,38.859764 -75.510788,38.884037 -75.486687,38.900421 -75.405525,38.925823 -75.391075,38.955048 -75.307899,38.945911 -75.190941,38.80867 -75.083138,38.799812 -75.045998,38.44949 -75.068298,38.449963</coordinates></LinearRing></outerBoundaryIs></Polygon>",DE,Sussex County,156638,93070,937.576898,258.068998,38.651424,-75.342268,10005,0,197145,25.9,156638,5.8,20.4,20.8,51.2,79,12.7,0.8,1,0.1,2.3,8.6,75.6,88.5,6.8,9.6,85.2,21.2,21718,23.5,123036,80,10.8,243700,75744,2.48,26779,51046,11.7,5408,58670,15.6,13361,20285,4.5,0.5,1.6,0,1.7,24.3,3049335,0,2979433,16103,463723,1554,1609865,936.08,210.6
01001,1,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.820686,32.347172 -86.814476,32.370274 -86.845726,32.41021 -86.831436,32.431301 -86.863937,32.450745 -86.864632,32.462612 -86.881927,32.482159 -86.881851,32.500839 -86.906723,32.53878 -86.901985,32.583786 -86.912392,32.665585 -86.711357,32.664471 -86.711388,32.710033 -86.413734,32.708725 -86.406059,32.415916 -86.42601,32.405518 -86.454041,32.411293 -86.463799,32.383289 -86.48584,32.37476 -86.498161,32.350471 -86.535797,32.345535 -86.537727,32.366558 -86.569771,32.381065 -86.585495,32.366886 -86.612282,32.37669 -86.617119,32.408268 -86.647392,32.412224 -86.658104,32.386055 -86.692078,32.361832 -86.722282,32.367592 -86.725243,32.407322 -86.750679,32.394268 -86.781372,32.401848 -86.790985,32.374725 -86.774231,32.356548 -86.778694,32.337051 -86.799248,32.322956 -86.816612,32.322914 -86.820686,32.347172</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Autauga County,43671,17662,595.968032,8.478429,32.523283,-86.577176,1001,0,54571,25,43671,6.6,26.8,12,51.3,78.5,17.7,0.4,0.9,0.1,1.6,2.4,77.2,86.3,2,3.7,85.3,21.7,5817,25.1,22135,77.5,7.2,133900,19718,2.7,24568,53255,10.6,877,10628,16.6,2971,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,191,331142,594.44,91.8
01003,3,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.973091,31.164648 -87.937103,31.173283 -87.941475,31.19618 -87.915329,31.193069 -87.872002,31.219847 -87.851326,31.210409 -87.846436,31.213989 -87.862556,31.237062 -87.850166,31.24099 -87.832664,31.233421 -87.8349,31.254919 -87.851807,31.265675 -87.829689,31.274019 -87.820343,31.285753 -87.801689,31.281361 -87.783913,31.286568 -87.7911,31.301291 -87.809105,31.311153 -87.806091,31.327087 -87.769135,31.301407 -87.763573,31.310909 -87.717598,31.306988 -87.680084,31.284006 -87.662437,31.259058 -87.61235,31.249086 -87.615311,31.006578 -87.598595,31.002449 -87.589882,30.954178 -87.625725,30.876717 -87.615929,30.84811 -87.541916,30.785507 -87.526619,30.748302 -87.460159,30.705612 -87.418915,30.692619 -87.398666,30.667824 -87.393303,30.619905 -87.422089,30.556299 -87.445374,30.531195 -87.418839,30.481504 -87.405273,30.440163 -87.466461,30.359522 -87.587585,30.319054 -87.593422,30.278214 -87.795341,30.233728 -88.002563,30.2334 -87.779953,30.272436 -87.757515,30.299221 -87.903473,30.421099 -87.913391,30.620993 -88.019791,30.744001 -88.020447,30.79612 -87.973595,30.82519 -87.957069,30.826332 -87.950478,30.836752 -87.95813,30.854683 -87.991188,30.881645 -87.990433,30.893515 -87.929703,30.947962 -87.965462,30.974508 -87.958809,31.043861 -87.94693,31.051004 -87.94178,31.069204 -87.956093,31.07443 -87.969032,31.096535 -87.943481,31.119476 -87.946991,31.131857 -87.937073,31.147249 -87.942795,31.15555 -87.973091,31.164648</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Baldwin County,140415,74285,1596.346694,430.582346,30.592781,-87.74826,1003,0,182265,29.8,140415,6.1,23,16.8,51.1,85.7,9.4,0.7,0.7,0,1.5,4.4,83.5,83,3.6,5.5,87.6,26.8,20396,25.8,104061,76.7,22.6,177200,69476,2.5,26469,50147,12.2,4812,52233,17.4,14175,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,696,1119082,1589.78,114.6
01005,5,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-85.743431,31.626076 -85.717262,31.679073 -85.700798,31.742891 -85.665482,31.782778 -85.672546,31.838251 -85.663475,31.881304 -85.581268,32.006256 -85.511665,32.003353 -85.51062,32.024311 -85.470741,32.021519 -85.47084,32.030193 -85.457253,32.031532 -85.453911,32.022743 -85.426285,32.023571 -85.427101,32.145889 -85.411423,32.145321 -85.411453,32.155361 -85.258293,32.152443 -85.229401,32.12534 -85.22065,32.106754 -85.190926,32.085545 -85.186363,32.069851 -85.126289,32.069817 -85.126381,32.078033 -85.056725,32.069489 -85.06208,32.049854 -85.05677,32.01722 -85.070137,31.980545 -85.115219,31.907265 -85.135635,31.854723 -85.13163,31.783651 -85.163208,31.777721 -85.206322,31.747873 -85.213036,31.712969 -85.416489,31.716915 -85.416832,31.625141 -85.743431,31.626076</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Barbour County,29038,12461,884.903549,19.61383,31.856515,-85.331312,1005,0,27457,-5.4,29038,6.2,21.9,14.2,46.9,48,46.9,0.4,0.4,0.1,0.9,5.1,46.8,83,2.8,4.7,71.9,13.5,2327,23.8,11829,68,11.1,88200,9795,2.52,15875,33219,25,522,7990,-27,1527,1667,0,0,0,0,0,27,0,0,188337,6334,0,10,240308,884.88,31
01007,7,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.419853,33.01165 -87.315323,33.011974 -87.31414,33.09436 -87.278915,33.139206 -87.190186,33.136993 -87.183945,33.200142 -87.153107,33.222733 -87.154755,33.240974 -87.113632,33.239666 -87.110634,33.230045 -87.095276,33.229725 -87.059998,33.252647 -87.018333,33.250843 -87.020203,33.173954 -86.983513,33.172241 -86.982147,33.163563 -86.968491,33.161896 -86.969681,33.107746 -86.950027,33.105488 -86.949524,33.087265 -86.938057,33.086098 -86.937378,33.07333 -86.919876,33.072483 -86.919052,33.06427 -86.904289,33.06348 -86.90284,33.057526 -86.885315,33.057583 -86.882774,32.836647 -87.013954,32.832752 -87.310455,32.832008 -87.312592,32.873493 -87.419579,32.876408 -87.419853,33.01165</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Bibb County,20826,8345,623.025058,3.136875,33.040054,-87.123243,1007,0,22915,10,20826,6,22.7,12.7,46.3,75.8,22,0.3,0.1,0.1,0.9,1.8,75,90.5,0.7,1.5,74.5,10,1883,28.3,8981,82.9,6.6,81200,7441,3.02,19918,41770,12.6,318,2927,-14,1192,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,8,163201,622.58,36.8
01009,9,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.967995,33.860352 -86.926666,33.872173 -86.919106,33.883377 -86.926231,33.90218 -86.914673,33.916931 -86.889122,33.91954 -86.879257,33.932961 -86.853188,33.934185 -86.841103,33.947552 -86.826889,33.942223 -86.821472,33.95483 -86.77803,33.961548 -86.760422,33.989784 -86.737984,33.997437 -86.716537,34.039215 -86.698677,34.042423 -86.695633,34.06554 -86.679619,34.063332 -86.698036,34.091064 -86.692299,34.096378 -86.678177,34.087852 -86.647102,34.103004 -86.648239,34.117584 -86.635628,34.113182 -86.626122,34.130226 -86.609772,34.122089 -86.598976,34.128643 -86.58918,34.15295 -86.546036,34.192326 -86.555443,34.208023 -86.520996,34.236698 -86.522697,34.250381 -86.512314,34.260117 -86.448692,34.265739 -86.30291,34.104942 -86.332779,34.053009 -86.338921,33.969944 -86.371078,33.928062 -86.339439,33.916283 -86.347565,33.906956 -86.347618,33.8783 -86.425644,33.822174 -86.510124,33.811203 -86.532738,33.798138 -86.584808,33.795368 -86.584892,33.763527 -86.657249,33.764423 -86.659096,33.774475 -86.763939,33.842056 -86.88063,33.842487 -86.937439,33.81374 -86.955643,33.815052 -86.956963,33.842369 -86.968544,33.843536 -86.967995,33.860352</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Blount County,51024,21158,645.585188,5.018892,33.978461,-86.554768,1009,0,57322,12.3,51024,6.3,24.6,14.7,50.5,92.6,1.3,0.5,0.2,0.1,1.2,8.1,88.9,87.2,4.7,7.2,74.7,12.5,4072,33.2,23887,82,3.7,113700,20605,2.73,21070,45549,13.4,749,6968,-11.4,3501,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,18,294114,644.78,88.9
01011,11,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-85.411453,32.155361 -85.411423,32.145321 -85.427101,32.145889 -85.426285,32.023571 -85.453911,32.022743 -85.457253,32.031532 -85.47084,32.030193 -85.470741,32.021519 -85.51062,32.024311 -85.511665,32.003353 -85.581268,32.006256 -85.663475,31.881304 -85.793411,31.884754 -85.789261,31.97452 -85.879524,31.974268 -85.87822,31.991108 -85.895142,31.999409 -85.896507,32.053291 -85.911087,32.053757 -85.912323,32.062466 -85.963898,32.070484 -85.963303,32.047195 -85.981171,32.046844 -85.982872,32.057388 -85.998077,32.056038 -86.000603,32.258186 -85.988007,32.260986 -85.988327,32.278328 -85.931953,32.277473 -85.902184,32.276073 -85.899582,32.309738 -85.869003,32.290062 -85.876328,32.260197 -85.851814,32.238884 -85.433167,32.239635 -85.429649,32.159668 -85.411102,32.162189 -85.411453,32.155361</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Bullock County,11714,4727,625.012619,1.043659,32.098285,-85.704915,1011,0,10914,-6.8,11714,6.8,22.3,13.5,45.8,23,70.2,0.2,0.2,0.4,0.8,7.1,21.9,88.5,1.1,3.8,74.7,12,943,28.1,4493,76.9,9.9,66300,3732,2.85,20289,31602,25.3,120,1919,-18.5,390,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,1,108846,622.81,17.5
01013,13,Alabama,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-86.44915,31.971083 -86.452484,31.854826 -86.443321,31.854578 -86.442589,31.831284 -86.451302,31.829241 -86.449326,31.668077 -86.50219,31.66494 -86.501831,31.529802 -86.702812,31.52862 -86.841309,31.531998 -86.868469,31.555923 -86.888618,31.597479 -86.907593,31.609331 -86.91526,31.756008 -86.912537,31.840815 -86.912346,31.963985 -86.859856,31.966871 -86.44915,31.971083</coordinates></LinearRing></outerBoundaryIs></Polygon>",AL,Butler County,21399,9957,776.867295,1.054881,31.735884,-86.662232,1013,0,20947,-2.1,21399,6.5,24.1,16.7,53,54.4,43.4,0.3,0.8,0,0.8,0.9,54.1,92.8,1.1,1.6,74.8,11,1675,25.1,9964,69,13.7,70200,8019,2.58,16916,30659,25,446,5400,2.1,1180,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,3,195055,776.83,27
